title,release_date,revenue,popularity,vote_count,vote_average,budget,runtime,adult,genre_names,collection_name
Orphan: First Kill,2022-07-27,9572765,5088.584,902,6.9,0,99,false,"Horror, Thriller",Orphan Collection
Beast,2022-08-11,56000000,2172.338,584,7.1,0,93,false,"Adventure, Drama, Horror",NA
Smile,2022-09-23,45000000,1863.628,114,6.8,17000000,115,false,"Horror, Mystery, Thriller",NA
The Black Phone,2022-06-22,161000000,1071.398,2736,7.9,18800000,103,false,"Horror, Thriller",NA
Jeepers Creepers: Reborn,2022-09-15,2892594,821.605,125,5.8,20000000,88,false,"Horror, Mystery, Thriller",Jeepers Creepers Collection
Nope,2022-07-20,170800000,733.112,1684,7.0,68000000,130,false,"Horror, Mystery, Science Fiction, Thriller",NA
Hunting Ava Bravo,2022-04-01,0,574.832,73,6.5,0,90,false,"Action, Adventure, Crime, Drama, Horror, Mystery, Thriller, War",NA
X,2022-03-17,14257609,543.67,1035,6.8,10000000,106,false,"Horror, Mystery, Thriller",X Collection
The Exorcism of God,2022-03-11,0,537.252,637,7.3,1500000,98,false,Horror,NA
The Jack in the Box: Awakening,2022-02-24,0,527.579,157,6.4,0,89,false,Horror,Jack in the Box Collection
Torn Hearts,2022-05-20,0,525.876,39,6.1,0,97,false,"Horror, Music, Thriller",NA
The Cellar,2022-03-25,0,513.757,257,6.6,0,94,false,"Horror, Mystery",NA
My Best Friend's Exorcism,2022-09-29,0,501.921,43,6.1,0,96,false,"Comedy, Horror",NA
Day Shift,2022-08-10,0,449.683,1129,6.9,0,113,false,"Action, Comedy, Fantasy, Horror",NA
Beneath the Surface,2022-04-01,0,412.34,50,6.9,0,93,false,"Fantasy, Horror, Mystery, Thriller",NA
Shut In,2022-03-24,304106,399.436,224,7.2,0,90,false,"Horror, Thriller",NA
Dahmer,2002-06-21,144008,378.39,220,5.2,250000,101,false,"Drama, Horror",NA
Titanic 666,2022-04-15,0,372.136,98,6.0,0,91,false,"Horror, Thriller",NA
Halloween Kills,2021-10-14,131647155,315.027,1941,6.7,20000000,105,false,"Horror, Thriller",Halloween Collection
Texas Chainsaw Massacre,2022-02-18,0,293.443,958,5.3,20000000,83,false,"Horror, Thriller",Texas Chainsaw Massacre Collection
Scream,2022-01-12,140000000,291.196,1732,6.7,24000000,114,false,"Horror, Mystery, Thriller",Scream Collection
Halloween Ends,2022-10-12,0,270.269,2,10.0,20000000,111,false,"Horror, Mystery, Thriller",Halloween Collection
Orphan,2009-07-24,77912251,265.858,4403,7.0,20000000,123,false,"Horror, Mystery, Thriller",Orphan Collection
See for Me,2022-01-07,0,254.809,110,6.1,0,92,false,"Crime, Drama, Horror, Mystery, Thriller",NA
Bring It On: Cheer or Die,2022-09-27,0,253.614,34,6.2,0,0,false,"Comedy, Horror, Thriller, TV Movie",Bring It On Collection
No Exit,2022-02-25,0,252.675,750,7.0,0,96,false,"Horror, Mystery, Thriller",NA
They/Them,2022-07-24,0,249.32,105,5.3,0,101,false,"Horror, Thriller",NA
The Requin,2022-01-28,0,248.496,191,4.7,0,89,false,"Horror, Thriller",NA
Jeepers Creepers 3,2017-09-26,3600000,246.189,692,4.9,6200000,100,false,"Horror, Mystery, Thriller",Jeepers Creepers Collection
The Conjuring: The Devil Made Me Do It,2021-05-25,201000000,246.13,4689,7.6,39000000,111,false,"Horror, Mystery, Thriller",The Conjuring Collection
Resident Evil: Welcome to Raccoon City,2021-11-24,38600612,245.332,1831,6.1,40000000,107,false,"Action, Horror, Science Fiction",NA
Shark Bait,2022-05-13,0,242.754,163,6.0,0,87,false,"Action, Adventure, Horror, Thriller",NA
The Addams Family 2,2021-10-01,119815153,241.156,953,7.1,0,93,false,"Adventure, Animation, Comedy, Family, Fantasy, Horror",The Addams Family (Animated) Collection
It Chapter Two,2019-09-04,473122525,230.451,7221,6.9,79000000,170,false,"Fantasy, Horror",It Collection
She Will,2022-07-15,40958,229.223,24,5.6,0,95,false,"Drama, Horror, Thriller",NA
Studio 666,2022-02-24,3000776,227.919,106,6.3,0,106,false,"Comedy, Horror, Music",NA
WarHunt,2022-01-21,0,215.537,60,5.1,0,93,false,"Action, Fantasy, Horror, Thriller, War",NA
The Unholy,2021-03-31,30833138,207.113,1737,6.7,10000000,99,false,"Horror, Mystery",NA
Goodnight Mommy,2022-09-16,0,198.775,159,6.2,0,91,false,"Drama, Horror, Thriller",NA
The Forever Purge,2021-06-30,76994245,198.269,1904,7.2,18000000,103,false,"Action, Horror, Thriller",The Purge Collection
Don't Breathe 2,2021-08-12,45000000,196.003,1847,7.3,10000000,98,false,"Horror, Thriller",Don't Breathe Collection
Jeepers Creepers,2001-07-01,59217789,195.983,2395,6.4,10000000,90,false,"Horror, Thriller",Jeepers Creepers Collection
Roald Dahl's The Witches,2020-10-25,26900000,192.006,2331,6.4,0,106,false,"Adventure, Comedy, Family, Fantasy, Horror",NA
Ripper Untold,2021-06-28,0,187.478,107,6.2,0,85,false,Horror,NA
V for Vengeance,2022-06-07,0,185.965,49,6.8,0,85,false,"Action, Horror",NA
The Conjuring,2013-07-18,319494638,173.527,9735,7.5,13000000,112,false,"Horror, Thriller",The Conjuring Collection
Jeepers Creepers 2,2003-08-08,63102666,169.063,1287,6.1,17000000,104,false,Horror,Jeepers Creepers Collection
The Invitation,2022-08-24,30000000,168.001,176,6.3,10000000,105,false,"Horror, Thriller",NA
Dark Cloud,2022-05-09,0,167.344,60,6.6,0,81,false,"Horror, Science Fiction, Thriller",NA
Queen of Spades,2021-06-11,0,164.687,66,6.6,0,91,false,Horror,NA
Living with Chucky,2022-08-13,0,163.646,2,2.0,0,105,false,"Documentary, Horror",NA
The Hunting,2022-01-21,0,163.448,28,4.9,0,91,false,Horror,NA
Bull Shark,2022-02-05,0,161.874,52,5.5,0,80,false,"Horror, Thriller",NA
Halloween,2018-10-18,253688035,158.374,3974,6.5,10000000,106,false,"Horror, Thriller",Halloween Collection
A Quiet Place Part II,2021-05-21,297372261,153.956,4721,7.6,61000000,97,false,"Horror, Science Fiction, Thriller",A Quiet Place Collection
Paranormal Activity: Next of Kin,2021-10-29,0,149.767,426,6.4,0,98,false,"Horror, Mystery, Thriller",Paranormal Activity Collection
Old,2021-07-21,90112510,148.823,3080,6.5,18000000,108,false,"Horror, Mystery, Thriller",NA
Black Water: Abyss,2020-07-09,0,147.567,351,5.1,0,98,false,"Adventure, Horror, Mystery, Thriller",Black Water Collection
The House,2022-01-14,0,145.57,740,7.0,0,97,false,"Animation, Comedy, Drama, Fantasy, Horror",NA
The Haunting of Helena,2013-01-14,0,142.934,129,5.5,0,87,false,"Horror, Thriller",NA
Bride of Chucky,1998-10-16,50671850,139.831,1495,6.0,25000000,89,false,"Comedy, Horror",Child's Play Collection
